dataid,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage
8872,01-02-11,10-06-13,2008,1422,1422,0,0
1464,01-02-11,06-03-14,2007,2345,1385,960,0
8047,01-02-11,07-04-14,2009,3245,1779,1466,0
8597,01-02-11,31-10-14,2008,2122,1162,960,0
7982,01-02-11,15-11-14,2007,1720,1720,0,0
7057,01-02-11,13-02-15,2009,1720,1720,0,0
3192,01-02-11,29-07-16,2008,2075,2075,0,0
114,01-02-11,current,2008,1842,1379,463,0
370,01-02-11,current,2007,2680,2680,0,0
545,01-02-11,current,2007,2345,1385,960,0
1185,01-02-11,current,2007,2122,1162,960,0
1463,01-02-11,current,2007,2236,793,1443,0
2335,01-02-11,current,2008,2710,1508,1202,0
2638,01-02-11,current,2008,1970,1013,957,0
2575,01-02-11,current,2008,1439,1439,0,0
661,01-02-11,current,2007,1842,1379,463,0
744,01-02-11,current,,2351,,,
3482,01-02-11,current,2009,1900,950,950,0
2818,01-02-11,current,2007,2345,1385,960,0
2859,01-02-11,current,2008,1252,1252,0,0
1192,01-02-11,current,2008,2122,1162,960,0
7024,01-02-11,current,2008,1576,778,798,0
3456,01-02-11,current,2008,1720,1720,0,0
4590,01-02-11,current,2008,2669,1455,1214,0
8317,01-02-11,current,2008,1576,778,798,0
1642,01-02-11,current,2007,1720,1720,0,0
5403,01-02-11,current,2007,1720,1720,0,0
5972,01-02-11,current,2008,2843,1457,1386,0
6836,01-02-11,current,2008,1217,1217,0,0
1718,01-02-11,current,2008,2710,1508,1202,0
6990,01-02-11,current,2008,2345,1385,960,0
1790,01-02-11,current,2008,3023,1473,1550,0
1800,01-02-11,current,2008,2075,2075,0,0
1801,01-02-11,current,2008,2075,2075,0,0
7536,01-02-11,current,2008,2710,1508,1202,0
2018,01-02-11,current,2008,3023,1473,1550,0
2129,01-02-11,current,2008,2075,2075,0,0
7940,01-02-11,current,2009,2214,1433,781,0
8236,01-02-11,current,2008,1994,1001,993,0
2233,01-02-11,current,2008,3245,1779,1466,0
2461,01-02-11,current,2008,2075,2075,0,0
2814,01-02-11,current,2009,1842,1379,463,0
2945,01-02-11,current,2007,1720,1720,0,0
3009,01-02-11,current,2008,1252,1252,0,0
3039,01-02-11,current,2010,3246,1706,1540,0
3577,01-02-11,current,2008,2122,1162,960,0
3918,01-02-11,current,2008,3023,1473,1550,0
3967,01-02-11,current,2008,2521,2521,0,0
4336,01-02-11,current,2009,2090,1168,922,0
4447,01-02-11,current,2010,2713,1514,1199,0
4767,01-02-11,current,2008,2710,1508,1202,0
4998,01-02-11,current,2008,2710,1508,1202,0
5275,01-02-11,current,2007,2132,866,1266,0
5545,01-02-11,current,2009,1994,1001,993,0
5785,01-02-11,current,2007,1842,1379,463,0
6423,01-02-11,current,2008,1544,1096,448,0
7036,01-02-11,current,2007,2075,2075,0,0
7504,01-02-11,current,,,,,
7680,01-02-11,current,2008,2006,1440,566,0
7731,01-02-11,current,2007,2194,1423,771,0
8084,01-02-11,current,2008,2649,1639,1010,0
8767,01-02-11,current,2009,2240,1478,762,0
8829,01-02-11,current,2008,2669,1455,1214,0
8890,01-02-11,current,2008,2194,1423,771,0
9121,01-02-11,current,2007,1981,788,1193,0
9134,01-02-11,current,2007,2122,1162,960,0
9160,01-02-11,current,2008,2310,1385,925,0
9237,01-02-11,current,2008,1720,1720,0,0
9729,01-02-11,current,2008,2196,1424,772,0
1994,19-03-11,30-06-15,2011,2152,1315,837,0
8188,19-03-11,29-07-16,,912,,,
2004,19-03-11,current,1970,1974,1974,0,0
